,Unnamed: 0_x,file,access_modify,final_modify,param_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter,Conflict_times_x,Unnamed: 0_y,filename,FinalDel,AccessibilityModify,HiddenApi,HiddenModify,ParameterListModifyDep,InnerExtensionClassUseDep,InheritExtension,ImplementExtension,AggregationExtensionInterfaceClassDep,InheritanceNative,ImplementNative,AggregationAOSPClassDep,PublicInterfaceUseDep,ReflectUse,Conflict_times_y
55,60,packages/SystemUI/src/com/android/systemui/accessibility/floatingmenu/AccessibilityFloatingMenuController.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,packages/SystemUI/src/com/android/systemui/accessibility/floatingmenu/AccessibilityFloatingMenuController.java,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,61,packages/SystemUI/src/com/android/systemui/battery/BatteryMeterView.java,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,packages/SystemUI/src/com/android/systemui/battery/BatteryMeterView.java,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
57,62,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsController.java,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,83,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsController.java,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
58,63,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0,34,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0
59,64,packages/SystemUI/src/com/android/systemui/fragments/FragmentService.java,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,35,packages/SystemUI/src/com/android/systemui/fragments/FragmentService.java,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,65,packages/SystemUI/src/com/android/systemui/media/dialog/MediaOutputBaseDialog.java,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,223,packages/SystemUI/src/com/android/systemui/media/dialog/MediaOutputBaseDialog.java,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,66,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBar.java,10.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0,36,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBar.java,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0
62,67,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,37,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0
63,68,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,38,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
64,69,packages/SystemUI/src/com/android/systemui/qs/QSAnimator.java,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,packages/SystemUI/src/com/android/systemui/qs/QSAnimator.java,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
