,Conf_details,Conf_methods,Loc,Block,Loc_details
140,services/core/java/com/android/server/wm/ActivityStackSupervisor.java,"['void com.android.server.wm.ActivityStackSupervisor.setWindowManager(WindowManagerService)', 'ActivityRecord com.android.server.wm.ActivityStackSupervisor.getTopResumedActivity()', 'boolean com.android.server.wm.ActivityStackSupervisor.isFocusable(ConfigurationContainer,boolean)', 'boolean com.android.server.wm.ActivityStackSupervisor.isTopDisplayFocusedStack(ActivityStack)', 'void com.android.server.wm.ActivityStackSupervisor.onChildPositionChanged(DisplayWindowController,int)', 'void com.android.server.wm.ActivityStackSupervisor.positionChildAt(ActivityDisplay,int)', 'ActivityStack com.android.server.wm.ActivityStackSupervisor.getTopDisplayFocusedStack()', 'void com.android.server.wm.ActivityStackSupervisor.prepareForShutdownLocked()', 'boolean com.android.server.wm.ActivityStackSupervisor.shutdownLocked(int)', 'void com.android.server.wm.ActivityStackSupervisor.goingToSleepLocked()', 'boolean com.android.server.wm.ActivityStackSupervisor.moveFocusableActivityToTop(ActivityRecord,String)', 'ActivityRecord com.android.server.wm.ActivityStackSupervisor.findTaskLocked(ActivityRecord,int)', 'ActivityRecord com.android.server.wm.ActivityStackSupervisor.findActivityLocked(Intent,ActivityInfo,boolean)', 'void com.android.server.wm.ActivityStackSupervisor.acquireUxPerfLock(int,String)', 'boolean com.android.server.wm.ActivityStackSupervisor.hasAwakeDisplay()', 'void com.android.server.wm.ActivityStackSupervisor.acquireAppLaunchPerfLock(ActivityRecord)', 'void com.android.server.wm.ActivityStackSupervisor.moveActivityToPinnedStackLocked(ActivityRecord,Rect,float,String)']",336,3,"[(178, 182, 5), (697, 785, 89), (3355, 3596, 242)]"
141,services/core/java/com/android/server/wm/ActivityStack.java,"['boolean com.android.server.wm.ActivityStack.resumeTopActivityInnerLocked(ActivityRecord,ActivityOptions)']",13,1,"[(2538, 2550, 13)]"
142,services/core/java/com/android/server/wm/ActivityRecord.java,['int com.android.server.wm.ActivityRecord.isAppInfoGame()'],11,2,"[(209, 209, 1), (1986, 1995, 10)]"
143,services/core/java/com/android/server/policy/PhoneWindowManager.java,"['void com.android.server.policy.PhoneWindowManager.init(Context,IWindowManager,WindowManagerFuncs)', 'void com.android.server.policy.PhoneWindowManager.requestTransientBars(WindowState)']",232,6,"[(23, 27, 5), (228, 229, 2), (405, 427, 23), (823, 843, 21), (2152, 2275, 124), (6585, 6641, 57)]"
144,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,[],1,1,"[(167, 167, 1)]"
145,services/core/java/com/android/server/wm/ActivityStarter.java,['int com.android.server.wm.ActivityStarter.setTaskFromSourceRecord()'],8,1,"[(2139, 2146, 8)]"
146,core/java/android/service/carrier/CarrierIdentifier.java,"['void android.service.carrier.CarrierIdentifier.<init>(String,String,String,String,String,String,String)', 'void android.service.carrier.CarrierIdentifier.<init>(String,String,String,String,String,String)', 'String android.service.carrier.CarrierIdentifier.getIccid()', 'int android.service.carrier.CarrierIdentifier.hashCode()', 'boolean android.service.carrier.CarrierIdentifier.equals(Object)', 'void android.service.carrier.CarrierIdentifier.writeToParcel(Parcel,int)', 'String android.service.carrier.CarrierIdentifier.toString()', 'void android.service.carrier.CarrierIdentifier.readFromParcel(Parcel)']",38,7,"[(52, 52, 1), (62, 69, 8), (138, 142, 5), (161, 174, 14), (190, 190, 1), (196, 203, 8), (214, 214, 1)]"
147,media/java/android/media/AudioFormat.java,"['boolean android.media.AudioFormat.isValidEncoding(int)', 'boolean android.media.AudioFormat.isEncodingLinearPcm(int)', 'boolean android.media.AudioFormat.isValidEncoding(int)']",65,4,"[(560, 584, 25), (619, 646, 28), (576, 581, 6), (1135, 1140, 6)]"
148,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,[],1,1,"[(32, 32, 1)]"
149,services/core/java/com/android/server/wm/DisplayContent.java,['int com.android.server.wm.DisplayContent.TaskStackContainers.getOrientation()'],5,1,"[(3932, 3936, 5)]"
