,Conf_details,Conf_methods,Loc,Block,Loc_details
11,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)']",3,1,"[(1308, 1310, 3)]"
12,packages/SystemUI/src/com/android/systemui/Dependency.java,[],1,1,"[(328, 328, 1)]"
13,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,"['void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)', 'void com.android.systemui.statusbar.KeyguardIndicationController.updateIndication(boolean)', 'void com.android.systemui.statusbar.KeyguardIndicationController.BaseKeyguardCallback.onRefreshBatteryInfo(BatteryStatus)']",5,3,"[(464, 464, 1), (494, 496, 3), (780, 780, 1)]"
14,services/core/java/com/android/server/pm/PackageManagerService.java,[],0,1,"[(0, 0, 0)]"
15,services/core/java/com/android/server/pm/permission/PermissionManagerServiceInternal.java,[],0,1,"[(0, 0, 0)]"
16,services/core/java/com/android/server/BluetoothManagerService.java,"['boolean com.android.server.BluetoothManagerService.bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)']",3,1,"[(1308, 1310, 3)]"
17,packages/SystemUI/src/com/android/systemui/ScreenDecorations.java,['void com.android.systemui.ScreenDecorations.updateRoundedCornerRadii()'],1,1,"[(597, 597, 1)]"
18,core/java/android/bluetooth/BluetoothCodecConfig.java,[],15,1,"[(64, 78, 15)]"
19,core/tests/coretests/src/android/view/InsetsControllerTest.java,[],0,1,"[(0, 0, 0)]"
20,services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java,['void com.android.server.net.NetworkStatsSubscriptionsMonitor.onSubscriptionsChanged()'],2,1,"[(105, 106, 2)]"
21,services/core/java/com/android/server/audio/AudioService.java,['void com.android.server.audio.AudioService.SetModeDeathHandler.binderDied()'],2,1,"[(3715, 3716, 2)]"
22,services/core/java/com/android/server/am/CachedAppOptimizer.java,"['void com.android.server.am.CachedAppOptimizer.setAppCompactProperties()', 'void com.android.server.am.CachedAppOptimizer.init()']",73,1,"[(286, 358, 73)]"
23,telephony/java/android/telephony/CarrierConfigManager.java,[],56,2,"[(3860, 3894, 35), (4432, 4452, 21)]"
24,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(98, 98, 1)]"
25,packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java,"['void com.android.settingslib.wifi.WifiEntryPreference.refresh()', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)', 'void com.android.settingslib.wifi.WifiEntryPreference.updateIcon(int,int,boolean)']",16,4,"[(67, 69, 3), (142, 152, 11), (211, 211, 1), (217, 217, 1)]"
26,core/java/android/app/ResourcesManager.java,[],2,1,"[(133, 134, 2)]"
27,telephony/java/android/telephony/CellIdentityNr.java,[],0,1,"[(0, 0, 0)]"
28,services/core/java/com/android/server/connectivity/Vpn.java,['void com.android.server.connectivity.Vpn.LegacyVpnRunner.bringup()'],26,2,"[(51, 51, 1), (2798, 2822, 25)]"
29,packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,['void com.android.systemui.statusbar.policy.WifiSignalController.notifyListeners(SignalCallback)'],1,1,"[(127, 127, 1)]"
30,packages/SettingsLib/src/com/android/settingslib/Utils.java,"['int com.android.settingslib.Utils.getWifiIconResource(int)', 'int com.android.settingslib.Utils.getWifiIconResource(int,int,boolean)']",23,2,"[(380, 380, 1), (386, 407, 22)]"
31,packages/SystemUI/src/com/android/systemui/ScreenDecorations.java,['void com.android.systemui.ScreenDecorations.updateRoundedCornerRadii()'],1,1,"[(597, 597, 1)]"
32,services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java,['void com.android.server.net.NetworkStatsSubscriptionsMonitor.onSubscriptionsChanged()'],2,1,"[(105, 106, 2)]"
33,telephony/java/android/telephony/CarrierConfigManager.java,[],19,2,"[(3860, 3876, 17), (4414, 4415, 2)]"
34,packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryControllerImpl.java,"['void com.android.systemui.statusbar.policy.BatteryControllerImpl.onReceive(Context,Intent)']",2,2,"[(76, 76, 1), (170, 170, 1)]"
35,packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,['void com.android.systemui.statusbar.policy.WifiSignalController.notifyListeners(SignalCallback)'],1,1,"[(127, 127, 1)]"
36,services/core/java/com/android/server/wm/TaskDisplayArea.java,[],1,1,"[(57, 57, 1)]"
37,packages/SystemUI/src/com/android/systemui/CornerHandleView.java,['float com.android.systemui.CornerHandleView.getOuterRadiusPx()'],2,1,"[(158, 159, 2)]"
38,core/java/android/bluetooth/BluetoothAdapter.java,['boolean android.bluetooth.BluetoothAdapter.factoryReset()'],4,1,"[(1204, 1207, 4)]"
