,Conf_details,Conf_methods,Loc,Block,Loc_details
160,core/java/android/bluetooth/BluetoothAdapter.java,[],0,1,"[(0, 0, 0)]"
161,telecomm/java/android/telecom/ConnectionService.java,[],2,1,"[(191, 192, 2)]"
162,services/core/java/com/android/server/am/ProcessRecord.java,[],1,1,"[(69, 69, 1)]"
163,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,['void com.android.settingslib.bluetooth.CachedBluetoothDevice.onBondingStateChanged(int)'],14,1,"[(766, 779, 14)]"
164,packages/Tethering/src/android/net/ip/IpServer.java,['boolean android.net.ip.IpServer.configureIPv4(boolean)'],35,1,"[(430, 464, 35)]"
165,services/core/java/com/android/server/location/GnssLocationProvider.java,[],0,1,"[(0, 0, 0)]"
166,core/java/android/hardware/camera2/CameraDevice.java,"['void android.hardware.camera2.CameraDevice.createCaptureSessionByOutputConfigurations(List<OutputConfiguration>,StateCallback,Handler)', 'void android.hardware.camera2.CameraDevice.createCaptureSession(List<Surface>,StateCallback,Handler)', 'void android.hardware.camera2.CameraDevice.setVendorStreamConfigMode(int)']",40,1,"[(491, 530, 40)]"
167,core/java/android/accounts/AccountManager.java,"['AccountManagerFuture<Boolean> android.accounts.AccountManager.removeAccount(Account,AccountManagerCallback<Boolean>,Handler)', 'AccountManagerFuture<Bundle> android.accounts.AccountManager.removeAccount(Account,Activity,AccountManagerCallback<Bundle>,Handler)', 'AccountManagerFuture<Bundle> android.accounts.AccountManager.addAccount(String,String,String[],Bundle,Activity,AccountManagerCallback<Bundle>,Handler)']",39,3,"[(1196, 1211, 16), (1257, 1265, 9), (1866, 1879, 14)]"
168,telephony/java/android/telephony/CarrierConfigManager.java,[],8,1,"[(1552, 1559, 8)]"
169,wifi/java/com/android/server/wifi/BaseWifiService.java,"['boolean com.android.server.wifi.BaseWifiService.isWifiCoverageExtendFeatureEnabled()', 'boolean com.android.server.wifi.BaseWifiService.isExtendingWifi()', 'int com.android.server.wifi.BaseWifiService.dppConfiguratorRemove(int)', 'int com.android.server.wifi.BaseWifiService.dppAddBootstrapQrCode(String)', 'int com.android.server.wifi.BaseWifiService.dppBootstrapRemove(int)', 'String com.android.server.wifi.BaseWifiService.getCapabilities(String)', 'int com.android.server.wifi.BaseWifiService.dppConfiguratorAdd(String,String,int)', 'int com.android.server.wifi.BaseWifiService.dppStartAuth(WifiDppConfig)', 'int com.android.server.wifi.BaseWifiService.dppListen(String,int,boolean,boolean)', 'int com.android.server.wifi.BaseWifiService.dppBootstrapGenerate(WifiDppConfig)', 'int com.android.server.wifi.BaseWifiService.getSoftApWifiGeneration()', 'String com.android.server.wifi.BaseWifiService.dppGetUri(int)', 'String com.android.server.wifi.BaseWifiService.dppConfiguratorGetKey(int)', 'void com.android.server.wifi.BaseWifiService.dppStopListen()']",58,3,"[(595, 595, 1), (600, 600, 1), (605, 660, 56)]"
170,core/java/com/android/ims/internal/uce/common/CapInfo.java,"['void com.android.ims.internal.uce.common.CapInfo.setMmtelCallComposerSupported(boolean)', 'void com.android.ims.internal.uce.common.CapInfo.setSmChatbotSupported(boolean)', 'boolean com.android.ims.internal.uce.common.CapInfo.isSmChatbotSupported()', 'boolean com.android.ims.internal.uce.common.CapInfo.isMmtelCallComposerSupported()', 'void com.android.ims.internal.uce.common.CapInfo.writeToParcel(Parcel,int)', 'void com.android.ims.internal.uce.common.CapInfo.readFromParcel(Parcel)']",54,18,"[(82, 85, 4), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (95, 95, 1), (520, 551, 32), (607, 608, 2), (658, 659, 2)]"
171,wifi/java/android/net/wifi/wificond/WifiCondManager.java,"['void android.net.wifi.wificond.WifiCondManager.WifiGenerationCapabilities.<init>()', 'WifiGenerationCapabilities android.net.wifi.wificond.WifiCondManager.getWifiGenerationCapabilities()']",64,2,"[(1203, 1215, 13), (1220, 1270, 51)]"
172,services/core/java/com/android/server/wm/ActivityStack.java,"['RemoteAnimationTarget com.android.server.wm.ActivityStack.createRemoteAnimationTarget(RemoteAnimationRecord)', 'String com.android.server.wm.ActivityStack.toString()', 'void com.android.server.wm.ActivityStack.onARStopTriggered(ActivityRecord)', 'void com.android.server.wm.ActivityStack.getAnimationFrames(Rect,Rect,Rect,Rect)']",66,3,"[(194, 194, 1), (255, 283, 29), (5135, 5170, 36)]"
173,packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java,['void com.android.providers.settings.DatabaseHelper.loadGlobalSettings(SQLiteDatabase)'],1,1,"[(2557, 2557, 1)]"
174,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,"['void com.android.systemui.statusbar.phone.PhoneStatusBarPolicy.<init>(Context,StatusBarIconController,CommandQueue,BroadcastDispatcher,Executor)']",2,1,"[(184, 185, 2)]"
