,Merge,Conf_files,Conf_javas,Conf_details,Loc,Block,Loc_details
35,a33382db0bb0bc29bab84f1e5ee36d682bea593e,11,8,"['core/java/android/bluetooth/BluetoothAdapter.java', 'core/java/android/view/InsetsController.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'core/java/android/view/InsetsSourceConsumer.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'core/java/android/view/InsetsSourceControl.java', 'services/core/java/com/android/server/ConnectivityService.java', 'core/java/android/content/pm/ApplicationInfo.java']",124,18,"[5, 0, 101, 1, 3, 3, 9, 2]"
36,b6292e3e1ba3616eac1032737a91925391d94b92,7,5,"['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'services/core/java/com/android/server/statusbar/StatusBarManagerService.java', 'services/core/java/com/android/server/Watchdog.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",40,9,"[2, 4, 2, 9, 23]"
37,8faa0d981413f18b2468dde1b1fe71e248df0df1,20,15,"['wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/Watchdog.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'core/java/android/view/SurfaceControl.java', 'services/core/java/com/android/server/ConnectivityService.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",82,24,"[9, 1, 12, 4, 3, 2, 10, 14, 6, 1, 2, 2, 12, 2, 2]"
38,3d2fc559e13b7293212955f1858d443f4fe8234e,17,14,"['telecomm/java/android/telecom/Connection.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'services/core/java/com/android/server/ConnectivityService.java', 'telecomm/java/android/telecom/ConnectionService.java', 'telecomm/java/android/telecom/Call.java']",580,24,"[9, 2, 20, 2, 2, 2, 376, 7, 29, 27, 79, 14, 2, 9]"
39,af02bd5317cc0cced0a7646d5bbf407a181dda9c,33,26,"['core/java/com/android/ims/internal/uce/common/CapInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/CallbackHandlerTest.java', 'telecomm/java/android/telecom/ConnectionService.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java', 'services/core/java/com/android/server/wm/WindowManagerService.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java', 'wifi/java/android/net/wifi/WifiInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'location/java/android/location/LocationManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java', 'packages/SystemUI/src/com/android/systemui/qs/QSCarrierGroupController.java', 'services/core/java/com/android/server/display/WifiDisplayController.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/QSCarrierGroupControllerTest.java', 'telecomm/java/android/telecom/Call.java', 'telecomm/java/android/telecom/Connection.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/ConnectivityService.java']",200,39,"[7, 3, 13, 5, 6, 2, 13, 3, 3, 1, 5, 10, 4, 9, 12, 2, 2, 1, 1, 10, 10, 3, 3, 3, 69]"
40,d28a4f6b38dbab44128b4319f665dd65c3e4ec2c,26,17,"['core/java/android/os/Process.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'telecomm/java/android/telecom/ConnectionService.java', 'telecomm/java/android/telecom/Conference.java', 'telephony/java/com/android/internal/telephony/TelephonyIntents.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'core/java/android/app/ActivityManagerInternal.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'services/core/java/com/android/server/am/ProcessList.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'services/core/java/com/android/server/ConnectivityService.java']",364,23,"[22, 60, 2, 6, 37, 0, 66, 5, 7, 2, 3, 15, 2, 1, 21, 1, 114]"
41,71998c3d8b36220df1be12fe6e1ba7eda81cde41,45,37,"['core/java/com/android/ims/internal/uce/common/CapInfo.java', 'packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', 'services/core/java/com/android/server/accounts/AccountManagerService.java', 'wifi/java/android/net/wifi/wificond/WifiCondManager.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'core/java/android/view/InputEventReceiver.java', 'core/java/android/accounts/AccountManager.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'core/java/android/hardware/camera2/CameraDevice.java', 'wifi/java/android/net/wifi/WifiManager.java', 'services/core/java/com/android/server/locksettings/LockSettingsService.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'telephony/java/android/telephony/PhoneNumberUtils.java', 'services/core/java/com/android/server/location/GnssLocationProvider.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/Watchdog.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/TetheringConfiguration.java', 'core/java/android/util/NtpTrustedTime.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'core/java/android/util/TrustedTime.java', 'telephony/java/android/telephony/SmsManager.java', 'telephony/java/android/telephony/DisconnectCause.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'core/java/android/provider/Settings.java']",1788,96,"[54, 1, 11, 64, 14, 12, 4, 16, 39, 5, 35, 58, 40, 28, 1, 14, 11, 0, 48, 51, 2, 11, 11, 67, 893, 66, 2, 23, 6, 3, 158, 18, 1, 8, 7, 3, 3]"
42,43ceded8caaffead0a2a1967f42a4ef4bb658ced,28,21,"['packages/SystemUI/src/com/android/keyguard/EmergencyButton.java', 'core/java/android/content/ContentResolver.java', 'core/java/android/content/Intent.java', 'wifi/java/android/net/wifi/WifiManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/UpstreamNetworkMonitor.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'services/core/java/com/android/server/wm/ActivityTaskManagerService.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityStackSupervisor.java', 'core/java/android/widget/RemoteViews.java', 'telephony/java/android/telephony/SmsManager.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'services/core/java/com/android/server/am/ProcessList.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java']",350,44,"[1, 4, 1, 28, 16, 17, 31, 21, 2, 143, 13, 10, 2, 0, 11, 4, 4, 1, 1, 28, 12]"
43,ae1b3a8f3221dbe692fd90d414cfe5040538c264,16,13,"['services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'core/java/android/bluetooth/BluetoothCodecConfig.java', 'wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityDisplay.java', 'services/core/java/com/android/server/wm/ActivityStackSupervisor.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'services/core/java/com/android/server/wm/ActivityMetricsLogger.java', 'services/core/java/com/android/server/ConnectivityService.java', 'services/core/java/com/android/server/pm/PackageManagerService.java']",176,21,"[16, 13, 10, 4, 6, 20, 6, 15, 13, 11, 37, 22, 3]"
44,efe5cc44da2c1772c733a6740a761b3b42969db4,40,36,"['services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'packages/SystemUI/src/com/android/systemui/classifier/brightline/BrightLineFalsingManager.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeFactory.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/CallbackHandlerTest.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java', 'telephony/java/android/provider/Telephony.java', 'packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardSliceProviderTest.java', 'services/core/java/com/android/server/locksettings/LockSettingsService.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java', 'packages/SystemUI/src/com/android/systemui/statusbar/NotificationShelf.java', 'packages/SystemUI/src/com/android/systemui/qs/QSCarrierGroup.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'telephony/java/com/android/internal/telephony/SmsCbMessage.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/QSCarrierGroupTest.java', 'telephony/java/android/telephony/DisconnectCause.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/classifier/brightline/ProximityClassifier.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java', 'services/core/java/com/android/server/WiredAccessoryManager.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java']",441,63,"[5, 4, 3, 2, 1, 19, 5, 6, 0, 1, 4, 2, 0, 9, 1, 0, 82, 24, 5, 3, 3, 2, 6, 6, 5, 10, 12, 17, 1, 158, 23, 12, 2, 6, 1, 1]"
